Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Encapsulation (ms),Encap Std (ms),Decapsulation (ms),Decap Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Ciphertext Size (bytes),Shared Secret Size (bytes),Family
HQC-192,Post-Quantum,3,45.671682357788086,0.03224076325399703,91.21168375015259,0.05831165216324395,137.31813669204712,0.05544851943150703,4522,0,8978,64,HQC
HQC-256,Post-Quantum,5,83.49081754684448,0.03315120374822959,166.7538595199585,0.06511247432948436,251.62227392196655,0.07730816963341307,7245,0,14421,64,HQC
Kyber1024,Post-Quantum,5,0.374758243560791,0.00809313438305556,0.41404008865356445,0.01076120658982128,0.3573417663574219,0.008468928632466632,1568,0,1568,32,Kyber1024
Kyber512,Post-Quantum,1,0.20998239517211914,0.0071023013911806305,0.21909475326538086,0.00510019360381027,0.1728534698486328,0.008173203103853737,800,0,768,32,Kyber512
Kyber768,Post-Quantum,3,0.2779221534729004,0.009633331823358049,0.30501365661621094,0.007952528813651197,0.25130271911621094,0.006846468367817771,1184,0,1088,32,Kyber768
ML-KEM-1024,Post-Quantum,5,0.652008056640625,0.014659004200059427,0.7450413703918457,0.008696315956899934,0.833289623260498,0.010619199645259729,1568,0,1568,32,ML
ML-KEM-512,Post-Quantum,1,0.2931022644042969,0.00633651099973,0.3545975685119629,0.00867137877417704,0.39124011993408203,0.0076906886203824696,800,0,768,32,ML
ML-KEM-768,Post-Quantum,3,0.45001745223999023,0.01137521476014666,0.5262589454650879,0.009666883791925152,0.5867409706115723,0.010764352240119231,1184,0,1088,32,ML
sntrup761,Post-Quantum,2,38.72689962387085,0.04502593911945026,1.3874077796936035,0.021365771454052246,2.5429701805114746,0.013690396530212605,1158,0,1039,32,sntrup761
RSA-2048,Classical,1,1132.495994567871,724.6084076591354,0.8672428131103516,0.1762537609469733,19.820237159729004,0.0684253305461325,294,0,256,32,RSA
RSA-3072,Classical,3,3649.2676544189453,2151.6631866555163,1.329176425933838,0.0205150689409555,54.85350847244263,0.1268224477011339,422,0,384,32,RSA
RSA-4096,Classical,5,10417.057650089264,6849.105073333643,1.9560456275939941,0.026773766856482036,118.2996916770935,0.20276391470279642,550,0,512,32,RSA
ECDH-256,Classical,1,0.2530860900878906,0.06497743517624023,0.9961652755737306,0.043103818549322756,0.9791493415832521,0.014715598563463916,91,0,91,32,ECDH
ECDH-384,Classical,3,1.6762900352478027,0.034366955311705596,4.265387058258057,0.018495045396171514,4.256613254547119,0.012909235777122613,120,0,120,48,ECDH
ECDH-521,Classical,5,2.6547837257385254,0.029905644697782587,6.73248291015625,0.03284563030655529,6.716501712799072,0.022960498311988143,158,0,158,66,ECDH
