Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
Dilithium2,Post-Quantum,2,0.5322623252868652,0.009359892863884124,1312,0,1024,1.6414618492126465,0.8982769952314443,0.5326604843139648,0.010376277868369949,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.5322623252868652,0.009359892863884124,1312,0,10240,1.7612218856811523,0.7394995576936602,0.7211637496948242,0.009594656813057992,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.5322623252868652,0.009359892863884124,1312,0,102400,3.594388961791992,0.7735830349082705,2.612483501434326,0.023849781031174213,2420,Dilithium2
Dilithium2,Post-Quantum,2,0.5322623252868652,0.009359892863884124,1312,0,1048576,24.026548862457275,0.7174148542283109,23.082449436187744,0.049968572076855566,2420,Dilithium2
Dilithium3,Post-Quantum,3,0.9395813941955566,0.010093353891523757,1952,0,1024,2.390279769897461,1.3258976979828474,0.8391928672790527,0.01115019512796717,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.9395813941955566,0.010093353891523757,1952,0,10240,2.3621106147766113,1.2191429403475558,1.0288524627685547,0.012438956938381696,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.9395813941955566,0.010093353891523757,1952,0,102400,4.418437480926514,1.4390078991795983,2.9215335845947266,0.026270330489873633,3293,Dilithium3
Dilithium3,Post-Quantum,3,0.9395813941955566,0.010093353891523757,1952,0,1048576,24.92267608642578,1.1789175659702031,23.41176748275757,0.04380593811571436,3293,Dilithium3
Dilithium5,Post-Quantum,5,1.4089488983154297,0.02250826252442292,2592,0,1024,2.810192108154297,1.5962120929344539,1.3839435577392578,0.01285612935498996,4595,Dilithium5
Dilithium5,Post-Quantum,5,1.4089488983154297,0.02250826252442292,2592,0,10240,3.0671334266662598,1.1691345958349015,1.579735279083252,0.02111704715109563,4595,Dilithium5
Dilithium5,Post-Quantum,5,1.4089488983154297,0.02250826252442292,2592,0,102400,5.008630752563477,1.3107117806643231,3.4775543212890625,0.023775166696211294,4595,Dilithium5
Dilithium5,Post-Quantum,5,1.4089488983154297,0.02250826252442292,2592,0,1048576,25.35916805267334,1.0282531387939748,23.96113395690918,0.04723017387516693,4595,Dilithium5
Falcon-1024,Post-Quantum,5,158.61892938613892,45.303349073200586,1793,0,1024,3.9546298980712886,0.03999603208206371,0.6186270713806152,0.05894538879943511,1274,Falcon
Falcon-1024,Post-Quantum,5,158.61892938613892,45.303349073200586,1793,0,10240,4.14229154586792,0.0475828708365897,0.7936906814575195,0.042792076725993826,1265,Falcon
Falcon-1024,Post-Quantum,5,158.61892938613892,45.303349073200586,1793,0,102400,6.061105728149414,0.05916336052038969,2.689659595489502,0.025797735837626946,1274,Falcon
Falcon-1024,Post-Quantum,5,158.61892938613892,45.303349073200586,1793,0,1048576,26.707794666290283,0.06243774189325576,23.154795169830322,0.04631997940347055,1269,Falcon
Falcon-512,Post-Quantum,1,55.41651725769043,17.032823710123477,897,0,1024,1.9933819770812988,0.026710466069649663,0.3546762466430664,0.049867145550932204,656,Falcon
Falcon-512,Post-Quantum,1,55.41651725769043,17.032823710123477,897,0,10240,2.1860265731811523,0.02358915445802282,0.530860424041748,0.012431927300765715,652,Falcon
Falcon-512,Post-Quantum,1,55.41651725769043,17.032823710123477,897,0,102400,4.089925289154053,0.041534841679874465,2.4327802658081055,0.04721333695556044,656,Falcon
Falcon-512,Post-Quantum,1,55.41651725769043,17.032823710123477,897,0,1048576,24.722723960876465,0.050299085530748695,22.892680168151855,0.062434201468735365,656,Falcon
Falcon-padded-1024,Post-Quantum,5,163.4650731086731,55.895555463679074,1793,0,1024,3.952925205230713,0.04088573270633764,0.5974888801574707,0.014145492040136735,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,163.4650731086731,55.895555463679074,1793,0,10240,4.148092269897461,0.03379242567005701,0.7886338233947754,0.014176660418275967,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,163.4650731086731,55.895555463679074,1793,0,102400,6.054122447967529,0.06356244733790949,2.6894736289978027,0.02944498322611749,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,163.4650731086731,55.895555463679074,1793,0,1048576,26.733856201171875,0.06342274506122228,23.162143230438232,0.03998945943558297,1280,Falcon
Falcon-padded-512,Post-Quantum,1,53.99474382400513,12.569435833283448,897,0,1024,1.9973087310791016,0.024348686461490833,0.3399085998535156,0.010741061556665054,666,Falcon
Falcon-padded-512,Post-Quantum,1,53.99474382400513,12.569435833283448,897,0,10240,2.186422348022461,0.02369889023303677,0.5294251441955566,0.007983659278179412,666,Falcon
Falcon-padded-512,Post-Quantum,1,53.99474382400513,12.569435833283448,897,0,102400,4.094092845916748,0.04587668680386762,2.424769401550293,0.01518097721951423,666,Falcon
Falcon-padded-512,Post-Quantum,1,53.99474382400513,12.569435833283448,897,0,1048576,24.74717140197754,0.053209276726132744,22.8884220123291,0.05388443445775659,666,Falcon
MAYO-1,Post-Quantum,1,3.0169010162353516,0.019873872587204498,1168,0,1024,6.5415215492248535,0.03893759585006372,2.38051176071167,0.07214009698527368,321,MAYO
MAYO-1,Post-Quantum,1,3.0169010162353516,0.019873872587204498,1168,0,10240,6.739308834075928,0.035745271446621575,2.5727033615112305,0.06709494897636885,321,MAYO
MAYO-1,Post-Quantum,1,3.0169010162353516,0.019873872587204498,1168,0,102400,8.704326152801514,0.04687340910669883,4.533901214599609,0.08075560945365677,321,MAYO
