Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
Dilithium5,Post-Quantum,5,0.06159329414367676,0.004715149929244816,2592,0,1048576,2.276925802230835,0.0726125594001582,2.2176296710968018,0.04909600250227785,4595,Dilithium5
Falcon-1024,Post-Quantum,5,15.184947490692139,3.5430968095555104,1793,0,1024,0.34634947776794434,0.013754355171804147,0.07335686683654785,0.0045835761874627075,1273,Falcon
Falcon-1024,Post-Quantum,5,15.184947490692139,3.5430968095555104,1793,0,10240,0.36754918098449707,0.015722694340974855,0.09277558326721191,0.00614397026605739,1270,Falcon
Falcon-1024,Post-Quantum,5,15.184947490692139,3.5430968095555104,1793,0,102400,0.557938814163208,0.034411563789744734,0.28031015396118164,0.012550322217741603,1270,Falcon
Falcon-1024,Post-Quantum,5,15.184947490692139,3.5430968095555104,1793,0,1048576,2.5203988552093506,0.07325270728989795,2.240600109100342,0.05905727124415616,1270,Falcon
Falcon-512,Post-Quantum,1,5.1166672706604,1.306146606569173,897,0,1024,0.18163204193115234,0.010485397568305483,0.04196929931640625,0.011886295974659303,656,Falcon
Falcon-512,Post-Quantum,1,5.1166672706604,1.306146606569173,897,0,10240,0.19750356674194336,0.007878267321949602,0.059354305267333984,0.003454219531362999,656,Falcon
Falcon-512,Post-Quantum,1,5.1166672706604,1.306146606569173,897,0,102400,0.38500452041625977,0.012402477937090596,0.2470834255218506,0.008314840173204953,654,Falcon
Falcon-512,Post-Quantum,1,5.1166672706604,1.306146606569173,897,0,1048576,2.337087869644165,0.05263538311866339,2.195272445678711,0.04759706754637669,657,Falcon
Falcon-padded-1024,Post-Quantum,5,15.12467098236084,3.685363740099599,1793,0,1024,0.3496272563934326,0.009993978885795854,0.07327151298522949,0.0028655956502211507,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,15.12467098236084,3.685363740099599,1793,0,10240,0.37802767753601074,0.015623611567365057,0.09442138671875,0.004160858309865331,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,15.12467098236084,3.685363740099599,1793,0,102400,0.5649683475494385,0.017724864911588277,0.2828688621520996,0.009068360136200418,1280,Falcon
Falcon-padded-1024,Post-Quantum,5,15.12467098236084,3.685363740099599,1793,0,1048576,2.499094247817993,0.05214195763753761,2.2181670665740967,0.044189604770168,1280,Falcon
Falcon-padded-512,Post-Quantum,1,5.097019910812378,1.2931020423830688,897,0,1024,0.1784372329711914,0.008171782799645474,0.0391995906829834,0.0022634548170300467,666,Falcon
Falcon-padded-512,Post-Quantum,1,5.097019910812378,1.2931020423830688,897,0,10240,0.19774079322814941,0.00727483331006994,0.05803227424621582,0.0025499307308524625,666,Falcon
Falcon-padded-512,Post-Quantum,1,5.097019910812378,1.2931020423830688,897,0,102400,0.3853647708892822,0.015210801586044919,0.24491286277770996,0.008555765830215981,666,Falcon
Falcon-padded-512,Post-Quantum,1,5.097019910812378,1.2931020423830688,897,0,1048576,2.336022138595581,0.05328400754665394,2.1931710243225098,0.04612273054328735,666,Falcon
MAYO-1,Post-Quantum,1,0.013622522354125977,0.0019666314728792314,1168,0,1024,0.054865360260009766,0.0021224760026851857,0.017560482025146484,0.001649165353245446,321,MAYO
MAYO-1,Post-Quantum,1,0.013622522354125977,0.0019666314728792314,1168,0,10240,0.07346725463867188,0.0029569792930034073,0.03642582893371582,0.003451153519363823,321,MAYO
MAYO-1,Post-Quantum,1,0.013622522354125977,0.0019666314728792314,1168,0,102400,0.2615354061126709,0.007710713836825903,0.22325968742370605,0.0067882649003782195,321,MAYO
MAYO-1,Post-Quantum,1,0.013622522354125977,0.0019666314728792314,1168,0,1048576,2.2118899822235107,0.07091280318450344,2.1699886322021484,0.05659909211069803,321,MAYO
MAYO-2,Post-Quantum,1,0.026643991470336914,0.0015792237483992953,5488,0,1024,0.06446504592895508,0.0023652156972589406,0.016055822372436523,0.00094262369599608,180,MAYO
MAYO-2,Post-Quantum,1,0.026643991470336914,0.0015792237483992953,5488,0,10240,0.08329653739929199,0.003339931654134395,0.03472089767456055,0.0014866903981349594,180,MAYO
MAYO-2,Post-Quantum,1,0.026643991470336914,0.0015792237483992953,5488,0,102400,0.2719876766204834,0.009285161283559912,0.2228069305419922,0.007704630569034367,180,MAYO
MAYO-2,Post-Quantum,1,0.026643991470336914,0.0015792237483992953,5488,0,1048576,2.2223289012908936,0.053834606774053356,2.1697702407836914,0.049102980418532324,180,MAYO
MAYO-3,Post-Quantum,3,0.049521684646606445,0.00375610533939448,2656,0,1024,0.1832587718963623,0.007898716313629685,0.061792850494384766,0.0034464501690398487,577,MAYO
MAYO-3,Post-Quantum,3,0.049521684646606445,0.00375610533939448,2656,0,10240,0.2013552188873291,0.0075715598905562835,0.0802302360534668,0.003696317733394169,577,MAYO
MAYO-3,Post-Quantum,3,0.049521684646606445,0.00375610533939448,2656,0,102400,0.38790464401245117,0.010773016510002951,0.2668638229370117,0.00757670513187159,577,MAYO
MAYO-3,Post-Quantum,3,0.049521684646606445,0.00375610533939448,2656,0,1048576,2.3364880084991455,0.05075926706731501,2.2126123905181885,0.04697892684725973,577,MAYO
MAYO-5,Post-Quantum,5,0.1068267822265625,0.005156701781157528,5008,0,1024,0.3610103130340576,0.013403149571569893,0.11473846435546875,0.0047679453659307995,838,MAYO
MAYO-5,Post-Quantum,5,0.1068267822265625,0.005156701781157528,5008,0,10240,0.38556790351867676,0.024763477769305958,0.13445138931274414,0.00819995324398309,838,MAYO
MAYO-5,Post-Quantum,5,0.1068267822265625,0.005156701781157528,5008,0,102400,0.5715224742889404,0.015365221347075051,0.3213319778442383,0.009719224261122483,838,MAYO
MAYO-5,Post-Quantum,5,0.1068267822265625,0.005156701781157528,5008,0,1048576,2.517794609069824,0.05039309591725439,2.2659974098205566,0.04605376642900015,838,MAYO
ML-DSA-44,Post-Quantum,2,0.02405834197998047,0.0022571017249195273,1312,0,1024,0.060775041580200195,0.03283221793508907,0.0252530574798584,0.0012883527409046304,2420,ML
ML-DSA-44,Post-Quantum,2,0.02405834197998047,0.0022571017249195273,1312,0,10240,0.07840156555175781,0.03244634615049137,0.044180870056152344,0.0026439226851617337,2420,ML
ML-DSA-44,Post-Quantum,2,0.02405834197998047,0.0022571017249195273,1312,0,102400,0.26834630966186523,0.03345658127535143,0.23134875297546387,0.007025903022426164,2420,ML
ML-DSA-44,Post-Quantum,2,0.02405834197998047,0.0022571017249195273,1312,0,1048576,2.215554714202881,0.05421341762751748,2.178546667098999,0.04317409594266932,2420,ML
ML-DSA-65,Post-Quantum,3,0.044315338134765625,0.0072887629137675875,1952,0,1024,0.09739255905151367,0.05097794113234897,0.03993988037109375,0.002702531121970653,3309,ML
ML-DSA-65,Post-Quantum,3,0.044315338134765625,0.0072887629137675875,1952,0,10240,0.11725497245788574,0.056493228834146626,0.05800318717956543,0.002894532255319812,3309,ML
ML-DSA-65,Post-Quantum,3,0.044315338134765625,0.0072887629137675875,1952,0,102400,0.29997992515563965,0.05353058770186916,0.24374151229858398,0.006806513148300669,3309,ML
ML-DSA-65,Post-Quantum,3,0.044315338134765625,0.0072887629137675875,1952,0,1048576,2.25062894821167,0.0973148311168835,2.1904866695404053,0.059823753801284,3309,ML
ML-DSA-87,Post-Quantum,5,0.06138467788696289,0.004509395104104582,2592,0,1024,0.11924457550048828,0.05492624908717678,0.059995412826538086,0.003273311519637694,4627,ML
ML-DSA-87,Post-Quantum,5,0.06138467788696289,0.004509395104104582,2592,0,10240,0.13341760635375977,0.05041538589891285,0.07767415046691895,0.0030151842840728366,4627,ML
ML-DSA-87,Post-Quantum,5,0.06138467788696289,0.004509395104104582,2592,0,102400,0.32228970527648926,0.05328598226918528,0.26657652854919434,0.008736153834033016,4627,ML
ML-DSA-87,Post-Quantum,5,0.06138467788696289,0.004509395104104582,2592,0,1048576,2.2719621658325195,0.07190340463578446,2.213514804840088,0.04711453979956501,4627,ML
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.26841092109680176,0.006886112165782377,32,0,1024,6.407197713851929,0.45522373596548416,0.5098004341125488,0.04642882472993258,17088,SPHINCS+
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.26841092109680176,0.006886112165782377,32,0,10240,6.355087757110596,0.1481698098633377,0.5078368186950684,0.020632914529662535,17088,SPHINCS+
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.26841092109680176,0.006886112165782377,32,0,102400,6.500111103057861,0.2984786357895313,0.5677201747894287,0.03173626462092213,17088,SPHINCS+
SPHINCS+-SHA2-128f-simple,Post-Quantum,1,0.26841092109680176,0.006886112165782377,32,0,1048576,7.644726037979126,0.3970171173536559,1.177363395690918,0.07437897438342163,17088,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,17.33060359954834,0.9260899774401358,32,0,1024,130.68731689453125,2.4836439610328997,0.21216869354248047,0.015439976874213166,7856,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,17.33060359954834,0.9260899774401358,32,0,10240,130.34640645980835,1.9278471797367283,0.2162160873413086,0.015398932823262082,7856,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,17.33060359954834,0.9260899774401358,32,0,102400,130.61160469055176,2.0068377929982604,0.2782416343688965,0.023274698526408164,7856,SPHINCS+
SPHINCS+-SHA2-128s-simple,Post-Quantum,1,17.33060359954834,0.9260899774401358,32,0,1048576,131.96980333328247,2.7368349580510167,0.9216759204864502,0.03659806769312931,7856,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.40821266174316406,0.04751321456385626,48,0,1024,10.917319297790527,0.48521783533673235,0.784121036529541,0.04328387167567902,35664,SPHINCS+
SPHINCS+-SHA2-192f-simple,Post-Quantum,3,0.40821266174316406,0.04751321456385626,48,0,10240,10.901382207870483,0.35499023490541637,0.794640302658081,0.036148242830489764,35664,SPHINCS+
