Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Message Size (bytes),Signing (ms),Sign Std (ms),Verification (ms),Verify Std (ms),Signature Size (bytes),Family
Falcon-padded-512,Post-Quantum,1,3.32119083404541,1.0784403962785394,897,0,10240,0.11890029907226562,0.002873852732454306,0.030352115631103516,0.0008799022990586344,666,Falcon
Falcon-padded-512,Post-Quantum,1,3.32119083404541,1.0784403962785394,897,0,102400,0.23707795143127441,0.0032109138517060873,0.12438988685607912,0.0036204122970082127,666,Falcon
Falcon-padded-512,Post-Quantum,1,3.32119083404541,1.0784403962785394,897,0,1048576,1.4385387897491455,0.18080852961597568,1.0841913223266602,0.0825844999603064,666,Falcon
MAYO-1,Post-Quantum,1,0.05460095405578613,0.0018171004553491168,1168,0,1024,0.17034602165222168,0.0021039235456120527,0.0386652946472168,0.0008608767660493628,321,MAYO
MAYO-1,Post-Quantum,1,0.05460095405578613,0.0018171004553491168,1168,0,10240,0.17925429344177246,0.0015916577027835406,0.04796719551086426,0.0012688098064212799,321,MAYO
MAYO-1,Post-Quantum,1,0.05460095405578613,0.0018171004553491168,1168,0,102400,0.27262353897094727,0.008290424055681006,0.14070701599121094,0.007862153242754688,321,MAYO
MAYO-1,Post-Quantum,1,0.05460095405578613,0.0018171004553491168,1168,0,1048576,1.2258780002593994,0.13359043050928393,1.0971007347106934,0.1117921085101782,321,MAYO
MAYO-2,Post-Quantum,1,0.14969849586486816,0.002374328729079063,5488,0,1024,0.2365272045135498,0.001988709822384004,0.02680373191833496,0.0007557557201875075,180,MAYO
MAYO-2,Post-Quantum,1,0.14969849586486816,0.002374328729079063,5488,0,10240,0.24556970596313474,0.002143116001897753,0.03626227378845215,0.0008267995731340249,180,MAYO
MAYO-2,Post-Quantum,1,0.14969849586486816,0.002374328729079063,5488,0,102400,0.33779406547546387,0.003146865853905134,0.12860608100891113,0.001504843054969653,180,MAYO
MAYO-2,Post-Quantum,1,0.14969849586486816,0.002374328729079063,5488,0,1048576,1.2848315238952637,0.006006801374796731,1.0787160396575928,0.004918931983027527,180,MAYO
MAYO-3,Post-Quantum,3,0.19985342025756836,0.002505137019147758,2656,0,1024,0.5952353477478027,0.010977300924990888,0.12471675872802734,0.0031654769293023625,577,MAYO
MAYO-3,Post-Quantum,3,0.19985342025756836,0.002505137019147758,2656,0,10240,0.6047976016998291,0.01310200656636402,0.13390111923217773,0.003371875296816462,577,MAYO
MAYO-3,Post-Quantum,3,0.19985342025756836,0.002505137019147758,2656,0,102400,0.6954383850097656,0.003630838646648089,0.22535157203674316,0.0025140869043844506,577,MAYO
MAYO-3,Post-Quantum,3,0.19985342025756836,0.002505137019147758,2656,0,1048576,1.643843173980713,0.007483080423172657,1.1739122867584229,0.006053428355956374,577,MAYO
MAYO-5,Post-Quantum,5,0.5745556354522705,0.27559756882846964,5008,0,1024,1.5126261711120605,0.007875708043501526,0.2822761535644531,0.0037217567546475473,838,MAYO
MAYO-5,Post-Quantum,5,0.5745556354522705,0.27559756882846964,5008,0,10240,1.5229392051696777,0.006418000974644947,0.2902181148529053,0.0029220609748162652,838,MAYO
MAYO-5,Post-Quantum,5,0.5745556354522705,0.27559756882846964,5008,0,102400,1.6129217147827148,0.007070085561243442,0.3799004554748535,0.003028547378844684,838,MAYO
MAYO-5,Post-Quantum,5,0.5745556354522705,0.27559756882846964,5008,0,1048576,2.5621836185455322,0.02597156307281925,1.3341505527496338,0.1414500855032571,838,MAYO
ML-DSA-44,Post-Quantum,2,0.03485584259033203,0.0010143186060200115,1312,0,1024,0.15648365020751953,0.10523462009356034,0.0390779972076416,0.0008711246872327264,2420,ML
ML-DSA-44,Post-Quantum,2,0.03485584259033203,0.0010143186060200115,1312,0,10240,0.1646413803100586,0.10439294714296331,0.048433542251586914,0.0009112448856554488,2420,ML
ML-DSA-44,Post-Quantum,2,0.03485584259033203,0.0010143186060200115,1312,0,102400,0.2586240768432617,0.10401998079410796,0.14327216148376465,0.0021413873769163248,2420,ML
