Algorithm,Type,Security Level,Key Generation (ms),Key Gen Std (ms),Encapsulation (ms),Encap Std (ms),Decapsulation (ms),Decap Std (ms),Public Key Size (bytes),Secret Key Size (bytes),Ciphertext Size (bytes),Shared Secret Size (bytes),Family
BIKE-L1,Post-Quantum,1,4.192858457565308,0.6525657650135425,0.22382879257202148,0.03257853779076705,3.2233667373657227,0.3447284235782475,1541,0,1573,32,BIKE
BIKE-L3,Post-Quantum,3,12.902129411697388,0.9213551636119593,0.6741456985473633,0.10353202339109496,10.035802364349365,1.0031727026187705,3083,0,3115,32,BIKE
BIKE-L5,Post-Quantum,5,32.25543665885925,1.800691748177889,1.672131061553955,0.10590382667684635,25.044548273086548,1.7353132360651908,5122,0,5154,32,BIKE
Classic-McEliece-348864,Post-Quantum,1,44.75283193588257,26.334169502493754,0.023151159286499023,0.00894639911317533,12.81055998802185,0.6158235228119997,261120,0,96,32,Classic
Classic-McEliece-348864f,Post-Quantum,1,21.708263874053955,1.5127188949305448,0.02107071876525879,0.005589565178043539,12.713925123214722,0.35373689930471774,261120,0,96,32,Classic
Classic-McEliece-460896,Post-Quantum,3,125.59447765350343,79.87491735059356,0.04860377311706543,0.021754805166505402,21.63883352279663,0.42519874379444,524160,0,156,32,Classic
Classic-McEliece-460896f,Post-Quantum,3,61.02620220184326,1.020278683999394,0.04711174964904785,0.015751097397698668,21.56835412979126,0.4492116804748919,524160,0,156,32,Classic
Classic-McEliece-6688128,Post-Quantum,5,264.8634238243103,195.76476967363865,0.11392331123352051,0.044617173963321315,41.796380281448364,1.5304433480185933,1044992,0,208,32,Classic
Classic-McEliece-6688128f,Post-Quantum,5,99.29007363319397,3.053377736763793,0.10531926155090332,0.03332980703839602,41.57318115234375,0.9460545315249624,1044992,0,208,32,Classic
Classic-McEliece-6960119,Post-Quantum,5,249.88953495025635,186.60356086350907,0.4262852668762207,0.03887110525388623,40.47643566131592,1.2238758594307784,1047319,0,194,32,Classic
Classic-McEliece-6960119f,Post-Quantum,5,98.20624160766602,4.037107515263961,0.4207804203033447,0.03526563546082235,40.36504650115967,2.0525242599083957,1047319,0,194,32,Classic
Classic-McEliece-8192128,Post-Quantum,5,285.45187640190125,204.07742663309003,0.11551499366760254,0.03475126919200585,51.34414291381836,2.2783642643469837,1357824,0,208,32,Classic
Classic-McEliece-8192128f,Post-Quantum,5,105.9142017364502,2.6904412577847903,0.10725784301757812,0.033986890507660364,51.088820695877075,2.2269432623255505,1357824,0,208,32,Classic
FrodoKEM-1344-AES,Post-Quantum,5,0.5661823749542236,0.006822396357694158,0.8538827896118164,0.006149502749416522,0.8349196910858154,0.006261583429993502,21520,0,21632,32,FrodoKEM
FrodoKEM-1344-SHAKE,Post-Quantum,5,3.2531089782714844,0.23583966410879773,3.677576780319214,0.6058875406742271,3.6639022827148438,0.4843884655064496,21520,0,21632,32,FrodoKEM
FrodoKEM-640-AES,Post-Quantum,1,0.15995407104492188,0.002261349434149048,0.25324296951293945,0.0031837256540261445,0.24465298652648923,0.0030751264840227256,9616,0,9720,16,FrodoKEM
FrodoKEM-640-SHAKE,Post-Quantum,1,0.8062760829925537,0.004465629700324409,1.015150547027588,0.00580441035971176,0.8995921611785889,0.005868887408263108,9616,0,9720,16,FrodoKEM
FrodoKEM-976-AES,Post-Quantum,3,0.33278465270996094,0.003292162613570336,0.4910206794738769,0.004046574390772194,0.47603940963745117,0.003746482909230314,15632,0,15744,24,FrodoKEM
FrodoKEM-976-SHAKE,Post-Quantum,3,1.8139269351959229,0.18136968444287846,2.044832706451416,0.2751269706566595,2.0158450603485107,0.16368757635430603,15632,0,15744,24,FrodoKEM
HQC-128,Post-Quantum,1,0.3241121768951416,0.08694187164626692,0.649909496307373,0.1634061208939256,1.0001952648162842,0.267116797148388,2249,0,4433,64,HQC
HQC-192,Post-Quantum,3,0.9560749530792236,0.03530706617844255,1.9179832935333252,0.04351687525776495,2.901395320892334,0.07391922276580222,4522,0,8978,64,HQC
HQC-256,Post-Quantum,5,1.7623803615570068,0.47632513399105103,3.4699740409851074,0.35218407161951276,5.278956413269043,0.6098701857576091,7245,0,14421,64,HQC
Kyber1024,Post-Quantum,5,0.009100914001464844,0.0004633188928596126,0.011945724487304688,0.0004831835887635349,0.010360956192016602,0.0005922267114268264,1568,0,1568,32,Kyber1024
Kyber512,Post-Quantum,1,0.004799842834472656,0.0006197312963154942,0.006518363952636719,0.0006411819886497966,0.005247831344604492,0.0005311374678484921,800,0,768,32,Kyber512
Kyber768,Post-Quantum,3,0.006720066070556641,0.0009655041121816159,0.008986234664916992,0.00044537196829139115,0.007513284683227539,0.0005698069866148956,1184,0,1088,32,Kyber768
ML-KEM-1024,Post-Quantum,5,0.013413190841674805,0.0008147471025659362,0.014613151550292969,0.0009095828466151291,0.016382694244384766,0.0006189799990139371,1568,0,1568,32,ML
ML-KEM-512,Post-Quantum,1,0.006081342697143555,0.0003500737432832944,0.006969451904296875,0.0005038578302200811,0.007657527923583985,0.000539799671341448,800,0,768,32,ML
ML-KEM-768,Post-Quantum,3,0.0093841552734375,0.0005486943444709299,0.010236978530883789,0.000704890123642194,0.01141667366027832,0.0006567458203495226,1184,0,1088,32,ML
sntrup761,Post-Quantum,2,1.4014720916748047,0.013140969405055304,0.03964877128601074,0.0017758519319432758,0.06737041473388672,0.002430055165868868,1158,0,1039,32,sntrup761
RSA-2048,Classical,1,56.835062980651855,35.417721476192355,0.058770179748535156,0.05218011614123727,1.7269995212554932,0.035040825798422236,294,0,256,32,RSA
RSA-3072,Classical,3,160.7432520389557,98.54064994472732,0.10509538650512695,0.019611116993587155,3.8391506671905518,0.24475716387735977,422,0,384,32,RSA
RSA-4096,Classical,5,395.09517669677734,256.5161045979946,0.17313528060913086,0.03918440709280156,6.957823991775513,0.5185681490791376,550,0,512,32,RSA
ECDH-256,Classical,1,0.018230199813842773,0.20428471616364416,0.05385327339172363,0.06543552505401062,0.05160856246948242,0.0036349925216288942,91,0,91,32,ECDH
ECDH-384,Classical,3,0.19948601722717285,0.09375725000497352,0.5025322437286377,0.1609187295905314,0.49442720413208,0.07271556253828616,120,0,120,48,ECDH
ECDH-521,Classical,5,0.2119312286376953,0.009521987896758215,0.4558420181274414,0.006964469106132117,0.45678067207336426,0.03307959612772917,158,0,158,66,ECDH
